"campaign","group","year","season","unit","subunit","site","factor","proximity","habitat","lon","lat","date","effort_time","datetime","species_latin","rad1","rad2","rad3","rad4","total","comments"
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22856,33.0155,2012-06-08,"10 min",NA,"Sylvia melanocephala",1,3,0,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22856,33.0155,2012-06-08,"10 min",NA,"Streptopelia decaocto",0,0,0,3,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22856,33.0155,2012-06-08,"10 min",NA,"Nectarinia osea",0,1,1,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22856,33.0155,2012-06-08,"10 min",NA,"Parus major",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22856,33.0155,2012-06-08,"10 min",NA,"Alectoris chukar",0,0,0,2,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22856,33.0155,2012-06-08,"10 min",NA,"Carduelis carduelis",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22856,33.0155,2012-06-08,"10 min",NA,"Troglodytes troglodytes",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22635,33.00544,2012-06-08,"10 min",NA,"Parus major",1,0,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22635,33.00544,2012-06-08,"10 min",NA,"Muscicapa striata",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22635,33.00544,2012-06-08,"10 min",NA,"Turdus merula",2,1,1,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22635,33.00544,2012-06-08,"10 min",NA,"Sylvia melanocephala",4,0,2,0,6,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22635,33.00544,2012-06-08,"10 min",NA,"Streptopelia decaocto",0,2,0,4,6,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22635,33.00544,2012-06-08,"10 min",NA,"Streptopelia turtur",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22635,33.00544,2012-06-08,"10 min",NA,"Nectarinia osea",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.22635,33.00544,2012-06-08,"10 min",NA,"Troglodytes troglodytes",1,0,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2319,33.00116,2012-06-08,"10 min",NA,"Turdus merula",5,4,5,0,14,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2319,33.00116,2012-06-08,"10 min",NA,"Corvus cornix",0,2,2,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2319,33.00116,2012-06-08,"10 min",NA,"Sylvia melanocephala",3,0,0,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2319,33.00116,2012-06-08,"10 min",NA,"Passer domesticus",2,5,0,0,7,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2319,33.00116,2012-06-08,"10 min",NA,"Streptopelia decaocto",1,3,2,3,9,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2319,33.00116,2012-06-08,"10 min",NA,"Plegadis falcinellus",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2319,33.00116,2012-06-08,"10 min",NA,"Falco tinnunculus",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2319,33.00116,2012-06-08,"10 min",NA,"Streptopelia turtur",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2319,33.00116,2012-06-08,"10 min",NA,"Parus major",2,3,2,0,7,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2319,33.00116,2012-06-08,"10 min",NA,"Carduelis carduelis",0,2,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.23364,33.00901,2012-06-08,"10 min",NA,"Turdus merula",0,3,3,0,6,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.23364,33.00901,2012-06-08,"10 min",NA,"Parus major",0,2,2,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.23364,33.00901,2012-06-08,"10 min",NA,"Troglodytes troglodytes",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.23364,33.00901,2012-06-08,"10 min",NA,"Streptopelia decaocto",0,1,2,1,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Far",NA,35.23364,33.00901,2012-06-08,"10 min",NA,"Sylvia melanocephala",3,3,0,0,6,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2256,33.02066,2012-06-08,"10 min",NA,"Sylvia melanocephala",2,4,4,0,10,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2256,33.02066,2012-06-08,"10 min",NA,"Turdus merula",0,3,0,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2256,33.02066,2012-06-08,"10 min",NA,"Carduelis chloris",0,2,4,0,6,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2256,33.02066,2012-06-08,"10 min",NA,"Passer domesticus",2,6,6,2,16,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2256,33.02066,2012-06-08,"10 min",NA,"Streptopelia decaocto",0,2,3,2,7,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2256,33.02066,2012-06-08,"10 min",NA,"Stigmatopelia senegalensis",0,1,4,0,5,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2256,33.02066,2012-06-08,"10 min",NA,"Dendrocopos syriacus",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2256,33.02066,2012-06-08,"10 min",NA,"Nectarinia osea",0,2,2,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2256,33.02066,2012-06-08,"10 min",NA,"Pycnonotus xanthopygos",0,3,1,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Ein Yaakov","Settlements","Near",NA,35.2256,33.02066,2012-06-08,"10 min",NA,"Prinia gracilis",0,2,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.24033,33.06037,2012-06-08,"10 min",NA,"Passer domesticus",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.24033,33.06037,2012-06-08,"10 min",NA,"Nectarinia osea",1,2,0,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.24033,33.06037,2012-06-08,"10 min",NA,"Prinia gracilis",2,0,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.24033,33.06037,2012-06-08,"10 min",NA,"Hirundo daurica",0,0,5,0,5,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.24033,33.06037,2012-06-08,"10 min",NA,"Parus major",0,2,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.24033,33.06037,2012-06-08,"10 min",NA,"Turdus merula",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.24033,33.06037,2012-06-08,"10 min",NA,"Streptopelia decaocto",0,1,3,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.24033,33.06037,2012-06-08,"10 min",NA,"Sylvia melanocephala",0,2,2,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.22721,33.05005,2012-06-08,"10 min",NA,"Sylvia melanocephala",1,5,1,0,7,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.22721,33.05005,2012-06-08,"10 min",NA,"Turdus merula",0,1,2,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.22721,33.05005,2012-06-08,"10 min",NA,"Streptopelia turtur",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.22721,33.05005,2012-06-08,"10 min",NA,"Nectarinia osea",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.22721,33.05005,2012-06-08,"10 min",NA,"Streptopelia decaocto",0,0,2,3,5,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.22721,33.05005,2012-06-08,"10 min",NA,"Corvus cornix",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.22721,33.05005,2012-06-08,"10 min",NA,"Parus major",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.22721,33.05005,2012-06-08,"10 min",NA,"Troglodytes troglodytes",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.24081,33.04905,2012-06-08,"10 min",NA,"Turdus merula",1,2,1,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.24081,33.04905,2012-06-08,"10 min",NA,"Prinia gracilis",0,2,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.24081,33.04905,2012-06-08,"10 min",NA,"Sylvia melanocephala",1,5,1,0,7,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.24081,33.04905,2012-06-08,"10 min",NA,"Streptopelia turtur",0,2,1,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.24081,33.04905,2012-06-08,"10 min",NA,"Streptopelia decaocto",0,0,3,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.24081,33.04905,2012-06-08,"10 min",NA,"Passer domesticus",1,0,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.23893,33.06772,2012-06-08,"10 min",NA,"Sylvia melanocephala",2,0,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.23893,33.06772,2012-06-08,"10 min",NA,"Prinia gracilis",2,2,0,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.23893,33.06772,2012-06-08,"10 min",NA,"Streptopelia turtur",0,2,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.23893,33.06772,2012-06-08,"10 min",NA,"Streptopelia decaocto",0,1,5,0,6,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.23893,33.06772,2012-06-08,"10 min",NA,"Turdus merula",0,1,2,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Far",NA,35.23893,33.06772,2012-06-08,"10 min",NA,"Garrulus glandarius",1,0,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.23149,33.05904,2012-06-08,"10 min",NA,"Passer domesticus",5,4,4,0,13,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.23149,33.05904,2012-06-08,"10 min",NA,"Prinia gracilis",0,3,0,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.23149,33.05904,2012-06-08,"10 min",NA,"Stigmatopelia senegalensis",0,2,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.23149,33.05904,2012-06-08,"10 min",NA,"Sylvia melanocephala",1,1,2,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.23149,33.05904,2012-06-08,"10 min",NA,"Turdus merula",1,1,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.23149,33.05904,2012-06-08,"10 min",NA,"Circaetus gallicus",0,0,0,2,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.23149,33.05904,2012-06-08,"10 min",NA,"Corvus cornix",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.2375,33.05341,2012-06-08,"10 min",NA,"Passer domesticus",3,8,4,0,15,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.2375,33.05341,2012-06-08,"10 min",NA,"Turdus merula",2,2,3,0,7,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.2375,33.05341,2012-06-08,"10 min",NA,"Stigmatopelia senegalensis",0,3,0,1,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.2375,33.05341,2012-06-08,"10 min",NA,"Prinia gracilis",2,2,2,0,6,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.2375,33.05341,2012-06-08,"10 min",NA,"Nectarinia osea",2,1,0,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.2375,33.05341,2012-06-08,"10 min",NA,"Carduelis chloris",0,2,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.2375,33.05341,2012-06-08,"10 min",NA,"Sylvia melanocephala",2,0,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.2375,33.05341,2012-06-08,"10 min",NA,"Falco tinnunculus",0,0,0,1,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.2375,33.05341,2012-06-08,"10 min",NA,"Bubulcus ibis",0,0,0,2,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.2375,33.05341,2012-06-08,"10 min",NA,"Pycnonotus xanthopygos",2,3,0,0,5,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.2375,33.05341,2012-06-08,"10 min",NA,"Hirundo daurica",0,0,0,1,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Goren","Settlements","Near",NA,35.2375,33.05341,2012-06-08,"10 min",NA,"Streptopelia decaocto",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.45921,32.96506,2012-06-09,"10 min",NA,"Streptopelia turtur",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.45921,32.96506,2012-06-09,"10 min",NA,"Streptopelia decaocto",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.45921,32.96506,2012-06-09,"10 min",NA,"Turdus merula",0,2,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.45921,32.96506,2012-06-09,"10 min",NA,"Pycnonotus xanthopygos",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.45921,32.96506,2012-06-09,"10 min",NA,"Parus major",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.45921,32.96506,2012-06-09,"10 min",NA,"Nectarinia osea",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.45921,32.96506,2012-06-09,"10 min",NA,"Sylvia melanocephala",3,7,2,0,12,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.45921,32.96506,2012-06-09,"10 min",NA,"Carduelis carduelis",4,0,0,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Columba livia (domesticus)",0,2,4,0,6,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Streptopelia decaocto",0,0,5,5,10,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Streptopelia turtur",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Stigmatopelia senegalensis",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Falco tinnunculus",0,0,0,1,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Pycnonotus xanthopygos",0,2,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Parus major",1,1,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Nectarinia osea",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Sylvia melanocephala",0,0,2,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Prinia gracilis",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Turdus merula",1,0,3,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Carduelis chloris",2,0,1,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Passer domesticus",5,10,0,0,15,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Garrulus glandarius",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Near",NA,35.45682,32.94988,2012-06-09,"10 min",NA,"Corvus cornix",1,0,1,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46524,32.9523,2012-06-09,"10 min",NA,"Sylvia melanocephala",1,2,6,0,9,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46524,32.9523,2012-06-09,"10 min",NA,"Pycnonotus xanthopygos",1,2,0,0,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46524,32.9523,2012-06-09,"10 min",NA,"Parus major",0,5,0,0,5,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46524,32.9523,2012-06-09,"10 min",NA,"Merops apiaster",0,0,1,1,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46524,32.9523,2012-06-09,"10 min",NA,"Streptopelia decaocto",0,0,0,4,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46524,32.9523,2012-06-09,"10 min",NA,"Apus apus",0,0,0,7,7,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46524,32.9523,2012-06-09,"10 min",NA,"Prinia gracilis",0,0,2,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46524,32.9523,2012-06-09,"10 min",NA,"Nectarinia osea",0,0,1,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46524,32.9523,2012-06-09,"10 min",NA,"Streptopelia turtur",0,1,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46524,32.9523,2012-06-09,"10 min",NA,"Turdus merula",1,1,0,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46083,32.94466,2012-06-09,"10 min",NA,"Accipiter nisus",0,0,0,1,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46083,32.94466,2012-06-09,"10 min",NA,"Falco tinnunculus",0,0,0,1,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46083,32.94466,2012-06-09,"10 min",NA,"Sylvia melanocephala",2,4,0,0,6,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46083,32.94466,2012-06-09,"10 min",NA,"Parus major",4,0,0,0,4,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46083,32.94466,2012-06-09,"10 min",NA,"Corvus cornix",0,0,0,3,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46083,32.94466,2012-06-09,"10 min",NA,"Prinia gracilis",1,0,0,0,1,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46083,32.94466,2012-06-09,"10 min",NA,"Streptopelia turtur",0,1,1,0,2,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46083,32.94466,2012-06-09,"10 min",NA,"Streptopelia decaocto",0,0,1,4,5,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46083,32.94466,2012-06-09,"10 min",NA,"Carduelis carduelis",0,0,0,3,3,NA
"T0","Birds",2012,"Spring","Mediterranean Maquis","Galilee","Kfar Shamai","Settlements","Far",NA,35.46083,32.94466,2012-06-09,"10 min",NA,"Turdus merula",0,0,1,0,1,NA
